FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT,Year_x,EventId_x,Type_x,Severity_origin,StartTime(UTC)_x,EndTime(UTC)_x,Precipitation(in)_origin,TimeZone_x,AirportCode_x,LocationLat_x,LocationLng_x,City_x,County_x,State_x,ZipCode_x,Year_y,Holiday_origin,EventId_y,Type_y,Severity_dest,StartTime(UTC)_y,EndTime(UTC)_y,Precipitation(in)_dest,TimeZone_y,AirportCode_y,LocationLat_y,LocationLng_y,City_y,County_y,State_y,ZipCode_y,Year,Holiday_dest,Month
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700921,Snow,Light,2022-01-07,2022-01-07 09:54:00,0.02,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413594,Snow,Light,2022-01-07,2022-01-07 07:48:00,0.02,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700921,Snow,Light,2022-01-07,2022-01-07 09:54:00,0.02,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413595,Snow,Moderate,2022-01-07,2022-01-07 09:51:00,0.16,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700921,Snow,Light,2022-01-07,2022-01-07 09:54:00,0.02,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413596,Snow,Heavy,2022-01-07,2022-01-07 11:51:00,0.15,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700921,Snow,Light,2022-01-07,2022-01-07 09:54:00,0.02,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413597,Snow,Moderate,2022-01-07,2022-01-07 12:25:00,0.04,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700921,Snow,Light,2022-01-07,2022-01-07 09:54:00,0.02,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413598,Snow,Light,2022-01-07,2022-01-07 14:28:00,0.02,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700922,Snow,Heavy,2022-01-07,2022-01-07 10:00:00,0.1,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413594,Snow,Light,2022-01-07,2022-01-07 07:48:00,0.02,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700922,Snow,Heavy,2022-01-07,2022-01-07 10:00:00,0.1,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413595,Snow,Moderate,2022-01-07,2022-01-07 09:51:00,0.16,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700922,Snow,Heavy,2022-01-07,2022-01-07 10:00:00,0.1,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413596,Snow,Heavy,2022-01-07,2022-01-07 11:51:00,0.15,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700922,Snow,Heavy,2022-01-07,2022-01-07 10:00:00,0.1,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413597,Snow,Moderate,2022-01-07,2022-01-07 12:25:00,0.04,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700922,Snow,Heavy,2022-01-07,2022-01-07 10:00:00,0.1,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413598,Snow,Light,2022-01-07,2022-01-07 14:28:00,0.02,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
2022-01-07,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1637,BOS,"Boston, MA",JFK,"New York, NY",1427,,,,,,,1544,,,CANCELLED,B,NOT DIVERTED,77.0,,,187.0,,,,,,2022,W-2700923,Snow,Light,2022-01-07,2022-01-07 10:54:00,0.01,US/Eastern,BOS,42.3606,-71.0097,East Boston,Suffolk,MA,2128.0,2022.0,0.0,W-413594,Snow,Light,2022-01-07,2022-01-07 07:48:00,0.02,US/Eastern,JFK,40.6392,-73.7639,Jamaica,Queens,NY,11430.0,2022,0.0,1
